system,topic,rank,score
10x20.prf.unipd.it,25,1,0
10x20.prf.unipd.it,25,2,0
10x20.prf.unipd.it,25,3,0
10x20.prf.unipd.it,25,4,0.1024
10x20.prf.unipd.it,25,5,0.08192
10x20.prf.unipd.it,25,6,0
10x20.prf.unipd.it,25,7,0.0524288
10x20.prf.unipd.it,26,1,0
10x20.prf.unipd.it,26,2,0
10x20.prf.unipd.it,26,3,0.064
10x20.prf.unipd.it,26,4,0
10x20.prf.unipd.it,26,5,0
10x20.prf.unipd.it,26,6,0.065536
10x20.prf.unipd.it,26,7,0.0524288
10x20.prf.unipd.it,27,1,0.2
10x20.prf.unipd.it,27,2,0.16
10x20.prf.unipd.it,27,3,0.128
10x20.prf.unipd.it,27,4,0.0512
10x20.prf.unipd.it,27,5,0.08192
10x20.prf.unipd.it,27,6,0.032768
10x20.prf.unipd.it,27,7,0.0524288
10x20.prf.unipd.it,28,1,0.2
10x20.prf.unipd.it,28,2,0
10x20.prf.unipd.it,28,3,0.128
10x20.prf.unipd.it,28,4,0.1024
10x20.prf.unipd.it,28,5,0.08192
10x20.prf.unipd.it,28,6,0.065536
10x20.prf.unipd.it,28,7,0.0524288
10x20.prf.unipd.it,29,1,0.2
10x20.prf.unipd.it,29,2,0.16
10x20.prf.unipd.it,29,3,0
10x20.prf.unipd.it,29,4,0.1024
10x20.prf.unipd.it,29,5,0.08192
10x20.prf.unipd.it,29,6,0.065536
10x20.prf.unipd.it,29,7,0.0524288
10x20.prf.unipd.it,30,1,0.2
10x20.prf.unipd.it,30,2,0.08
10x20.prf.unipd.it,30,3,0.064
10x20.prf.unipd.it,30,4,0.0512
10x20.prf.unipd.it,30,5,0.08192
10x20.prf.unipd.it,30,6,0.032768
10x20.prf.unipd.it,30,7,0.0262144
azimiv_wk1,1,1,0.1
azimiv_wk1,1,2,0.16
azimiv_wk1,1,3,0.064
azimiv_wk1,1,4,0.1024
azimiv_wk1,1,5,0
azimiv_wk1,1,6,0.065536
azimiv_wk1,1,7,0.0524288
azimiv_wk1,2,1,0
azimiv_wk1,2,2,0
azimiv_wk1,2,3,0
azimiv_wk1,2,4,0
azimiv_wk1,2,5,0
azimiv_wk1,2,6,0
azimiv_wk1,2,7,0
azimiv_wk1,3,1,0
azimiv_wk1,3,2,0
azimiv_wk1,3,3,0
azimiv_wk1,3,4,0
azimiv_wk1,3,5,0.04096
azimiv_wk1,3,6,0
azimiv_wk1,3,7,0
azimiv_wk1,4,1,0.1
azimiv_wk1,4,2,0.08
azimiv_wk1,4,3,0
azimiv_wk1,4,4,0
azimiv_wk1,4,5,0.08192
azimiv_wk1,4,6,0
azimiv_wk1,4,7,0
azimiv_wk1,5,1,0.2
azimiv_wk1,5,2,0.16
azimiv_wk1,5,3,0.128
azimiv_wk1,5,4,0.1024
azimiv_wk1,5,5,0.08192
azimiv_wk1,5,6,0.032768
azimiv_wk1,5,7,0
azimiv_wk1,6,1,0
azimiv_wk1,6,2,0.16
azimiv_wk1,6,3,0.128
azimiv_wk1,6,4,0.1024
azimiv_wk1,6,5,0.08192
azimiv_wk1,6,6,0.065536
azimiv_wk1,6,7,0.0524288
azimiv_wk1,7,1,0.2
azimiv_wk1,7,2,0.16
azimiv_wk1,7,3,0.128
azimiv_wk1,7,4,0
azimiv_wk1,7,5,0
azimiv_wk1,7,6,0.065536
azimiv_wk1,7,7,0.0524288
azimiv_wk1,8,1,0
azimiv_wk1,8,2,0
azimiv_wk1,8,3,0
azimiv_wk1,8,4,0
azimiv_wk1,8,5,0
azimiv_wk1,8,6,0.032768
azimiv_wk1,8,7,0
azimiv_wk1,9,1,0.2
azimiv_wk1,9,2,0.16
azimiv_wk1,9,3,0
azimiv_wk1,9,4,0.1024
azimiv_wk1,9,5,0
azimiv_wk1,9,6,0.032768
azimiv_wk1,9,7,0.0524288
azimiv_wk1,10,1,0.2
azimiv_wk1,10,2,0.16
azimiv_wk1,10,3,0.128
azimiv_wk1,10,4,0.1024
azimiv_wk1,10,5,0.08192
azimiv_wk1,10,6,0.065536
azimiv_wk1,10,7,0.0524288
azimiv_wk1,11,1,0
azimiv_wk1,11,2,0.08
azimiv_wk1,11,3,0.064
azimiv_wk1,11,4,0
azimiv_wk1,11,5,0
azimiv_wk1,11,6,0
azimiv_wk1,11,7,0
azimiv_wk1,12,1,0.2
azimiv_wk1,12,2,0.16
azimiv_wk1,12,3,0.128
azimiv_wk1,12,4,0.0512
azimiv_wk1,12,5,0.04096
azimiv_wk1,12,6,0.065536
azimiv_wk1,12,7,0.0524288
azimiv_wk1,13,1,0
azimiv_wk1,13,2,0
azimiv_wk1,13,3,0
azimiv_wk1,13,4,0.1024
azimiv_wk1,13,5,0.04096
azimiv_wk1,13,6,0.032768
