system,topic,score
BITEM_df,21,0.2071
BITEM_df,22,0.7818
BITEM_df,23,0.6295
BITEM_df,24,0.0098
BITEM_df,25,0.0313
BITEM_df,26,0.7149
BITEM_df,27,0.5781
BITEM_df,28,1
BITEM_df,29,0.9015
BITEM_df,30,0.7324
BITEM_stem,1,0.2813
BITEM_stem,2,0.5156
BITEM_stem,3,0.0781
BITEM_stem,4,0
BITEM_stem,5,0.0256
BITEM_stem,6,0.7892
BITEM_stem,7,0.0078
BITEM_stem,8,0.001
BITEM_stem,9,0.0161
BITEM_stem,10,0.994
BITEM_stem,11,0.127
BITEM_stem,12,0.8898
BITEM_stem,13,0
BITEM_stem,14,0.8873
BITEM_stem,15,0.0647
BITEM_stem,16,0.5
BITEM_stem,17,0.7012
BITEM_stem,18,0.7959
BITEM_stem,19,0.3262
BITEM_stem,20,0.465
BITEM_stem,21,0.274
BITEM_stem,22,0.6254
BITEM_stem,23,0.5716
BITEM_stem,24,0.0195
BITEM_stem,25,0.0156
BITEM_stem,26,0.7534
BITEM_stem,27,0.0371
BITEM_stem,28,1
BITEM_stem,29,0.731
BITEM_stem,30,0.8555
BM25R2,1,0.7229
BM25R2,2,0.9669
BM25R2,3,0
BM25R2,4,0.3125
BM25R2,5,0
BM25R2,6,0.501
BM25R2,7,0.2546
BM25R2,8,0.752
BM25R2,9,0.6251
BM25R2,10,0.9999
BM25R2,11,0.0011
BM25R2,12,0.4736
BM25R2,13,0.1251
BM25R2,14,0.6487
BM25R2,15,0.7813
BM25R2,16,0.0313
BM25R2,17,0.5
BM25R2,18,0.2522
BM25R2,19,0.2529
BM25R2,20,0.1689
BM25R2,21,0.6016
BM25R2,22,0.8301
BM25R2,23,5e-04
BM25R2,24,0.5
BM25R2,25,0.744
BM25R2,26,0.5003
BM25R2,27,0.0078
BM25R2,28,0.7342
BM25R2,29,0.9855
BM25R2,30,0.7733
BioinfoUA-emb,1,0.5703
BioinfoUA-emb,2,0.9888
BioinfoUA-emb,3,0.1422
BioinfoUA-emb,4,0.8568
BioinfoUA-emb,5,0.9995
BioinfoUA-emb,6,0.9532
BioinfoUA-emb,7,0.2744
BioinfoUA-emb,8,0.5787
BioinfoUA-emb,9,0.8833
BioinfoUA-emb,10,0.6873
BioinfoUA-emb,11,0.0313
BioinfoUA-emb,12,0.746
BioinfoUA-emb,13,0.9063
BioinfoUA-emb,14,0.7812
BioinfoUA-emb,15,0.25
BioinfoUA-emb,16,0.6516
BioinfoUA-emb,17,0.4795
BioinfoUA-emb,18,0.4377
BioinfoUA-emb,19,0.75
BioinfoUA-emb,20,0.9672
BioinfoUA-emb,21,0.002
BioinfoUA-emb,22,0.9938
BioinfoUA-emb,23,0.93
BioinfoUA-emb,24,0.9683
BioinfoUA-emb,25,0.524
BioinfoUA-emb,26,0.8593
BioinfoUA-emb,27,0.9995
BioinfoUA-emb,28,0.9934
BioinfoUA-emb,29,0.9687
BioinfoUA-emb,30,0.9872
BioinfoUA-emb-q,1,0.5001
BioinfoUA-emb-q,2,0.8691
BioinfoUA-emb-q,3,0.0786
BioinfoUA-emb-q,4,0.125
BioinfoUA-emb-q,5,0
BioinfoUA-emb-q,6,0.1875
BioinfoUA-emb-q,7,0.5635
BioinfoUA-emb-q,8,0.0781
BioinfoUA-emb-q,9,0.262
BioinfoUA-emb-q,10,0.9899
BioinfoUA-emb-q,11,0.5001
BioinfoUA-emb-q,12,0.992
BioinfoUA-emb-q,13,0.5078
BioinfoUA-emb-q,14,0.5914
BioinfoUA-emb-q,15,0.5
BioinfoUA-emb-q,16,0.825
BioinfoUA-emb-q,17,0.9817
BioinfoUA-emb-q,18,0.0078
BioinfoUA-emb-q,19,0.4688
BioinfoUA-emb-q,20,0.8789
BioinfoUA-emb-q,21,0.6062
BioinfoUA-emb-q,22,0.8594
BioinfoUA-emb-q,23,0.3048
BioinfoUA-emb-q,24,0.6333
BioinfoUA-emb-q,25,0.052
BioinfoUA-emb-q,26,0.3998
BioinfoUA-emb-q,27,0.8033
BioinfoUA-emb-q,28,0.7485
BioinfoUA-emb-q,29,0.7334
BioinfoUA-emb-q,30,0.9983
BioinfoUA-noadapt,1,0.5157
BioinfoUA-noadapt,2,0.856
BioinfoUA-noadapt,3,0.0405
BioinfoUA-noadapt,4,0.772
BioinfoUA-noadapt,5,0.206
BioinfoUA-noadapt,6,0.3008
BioinfoUA-noadapt,7,0.3781
BioinfoUA-noadapt,8,0.719
BioinfoUA-noadapt,9,0.9263
BioinfoUA-noadapt,10,0.4686
BioinfoUA-noadapt,11,0.0625
BioinfoUA-noadapt,12,0.6853
BioinfoUA-noadapt,13,0.876
BioinfoUA-noadapt,14,0.3661
BioinfoUA-noadapt,15,0.25
BioinfoUA-noadapt,16,0.8115
BioinfoUA-noadapt,17,0.3673
BioinfoUA-noadapt,18,0.4068
BioinfoUA-noadapt,19,0.7622
BioinfoUA-noadapt,20,0.7434
BioinfoUA-noadapt,21,3e-04
BioinfoUA-noadapt,22,0.9995
BioinfoUA-noadapt,23,0.6625
BioinfoUA-noadapt,24,0.8351
BioinfoUA-noadapt,25,0.5784
BioinfoUA-noadapt,26,0.9919
BioinfoUA-noadapt,27,0.9675
BioinfoUA-noadapt,28,0.9983
BioinfoUA-noadapt,29,0.9993
BioinfoUA-noadapt,30,0.984
CBOWexp.0,1,0.7656
CBOWexp.0,2,0.001
CBOWexp.0,3,0
CBOWexp.0,4,0
CBOWexp.0,5,0.5
CBOWexp.0,6,0.9226
CBOWexp.0,7,0.5579
CBOWexp.0,8,0
CBOWexp.0,9,0.922
CBOWexp.0,10,0.806
CBOWexp.0,11,0.0078
CBOWexp.0,12,0.4773
CBOWexp.0,13,0.8281
CBOWexp.0,14,0.4808
CBOWexp.0,15,0
CBOWexp.0,16,0.1519
CBOWexp.0,17,0.6334
CBOWexp.0,18,0.4788
CBOWexp.0,19,0.9029
CBOWexp.0,20,0.0039
CBOWexp.0,21,0.501
CBOWexp.0,22,0
CBOWexp.0,23,0.0664
CBOWexp.0,24,0.252
CBOWexp.0,25,0
CBOWexp.0,26,0.0528
CBOWexp.0,27,0.5274
CBOWexp.0,28,0.4088
CBOWexp.0,29,0.1173
CBOWexp.0,30,0.1139
CSIROmedNIR,1,0.9356
CSIROmedNIR,2,0.9066
CSIROmedNIR,3,0.785
CSIROmedNIR,4,0.6917
CSIROmedNIR,5,0.8576
CSIROmedNIR,6,0.8987
CSIROmedNIR,7,0.7208
CSIROmedNIR,8,0.7539
CSIROmedNIR,9,0.75
CSIROmedNIR,10,0.998
CSIROmedNIR,11,0.0158
CSIROmedNIR,12,0.9003
CSIROmedNIR,13,0.7738
CSIROmedNIR,14,0.7539
CSIROmedNIR,15,0.5313
CSIROmedNIR,16,0.7617
CSIROmedNIR,17,0.7447
CSIROmedNIR,18,0.957
CSIROmedNIR,19,0.625
CSIROmedNIR,20,0.919
CSIROmedNIR,21,0.9686
CSIROmedNIR,22,0.9677
CSIROmedNIR,23,0.685
CSIROmedNIR,24,0.9757
CSIROmedNIR,25,0.8168
CSIROmedNIR,26,0.9261
CSIROmedNIR,27,0.8192
CSIROmedNIR,28,1
CSIROmedNIR,29,0.9989
CSIROmedNIR,30,0.9667
CSIROmed_PE,1,0.9047
CSIROmed_PE,2,0.0319
CSIROmed_PE,3,0.0078
CSIROmed_PE,4,1e-04
CSIROmed_PE,5,0.1407
CSIROmed_PE,6,0.0703
CSIROmed_PE,7,0.4944
CSIROmed_PE,8,0.6612
CSIROmed_PE,9,0.8877
CSIROmed_PE,10,0.998
CSIROmed_PE,11,0.5003
CSIROmed_PE,12,0.6802
CSIROmed_PE,13,0.9322
CSIROmed_PE,14,0.5552
CSIROmed_PE,15,0.1328
CSIROmed_PE,16,0.375
CSIROmed_PE,17,0.9584
CSIROmed_PE,18,0.345
CSIROmed_PE,19,0.0161
CSIROmed_PE,20,0.8705
CSIROmed_PE,21,0.5001
CSIROmed_PE,22,0.6967
CSIROmed_PE,23,0.0156
CSIROmed_PE,24,0.4386
CSIROmed_PE,25,0.9325
CSIROmed_PE,26,0.0373
CSIROmed_PE,27,0
CSIROmed_PE,28,0.9218
CSIROmed_PE,29,0.9363
CSIROmed_PE,30,0.9999
CSIROmed_RF,1,0.997
CSIROmed_RF,2,0.9748
CSIROmed_RF,3,0.001
CSIROmed_RF,4,0.2042
CSIROmed_RF,5,0.8472
CSIROmed_RF,6,0.999
CSIROmed_RF,7,0.8688
CSIROmed_RF,8,0.6358
CSIROmed_RF,9,0.8135
CSIROmed_RF,10,1
CSIROmed_RF,11,0.547
CSIROmed_RF,12,0.1805
CSIROmed_RF,13,0.9734
CSIROmed_RF,14,0.8184
CSIROmed_RF,15,0.0176
CSIROmed_RF,16,0.016
CSIROmed_RF,17,0.9974
CSIROmed_RF,18,0.7179
CSIROmed_RF,19,1e-04
CSIROmed_RF,20,0.7469
CSIROmed_RF,21,0.9514
CSIROmed_RF,22,0.437
CSIROmed_RF,23,0.9297
CSIROmed_RF,24,0.9566
CSIROmed_RF,25,0.9599
CSIROmed_RF,26,0.2748
CSIROmed_RF,27,0.9025
CSIROmed_RF,28,0.9228
CSIROmed_RF,29,0.999
CSIROmed_RF,30,0.9993
Conv_KNRM,1,0.0078
